assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_000691765.2	PRJNA200311	SAMN02058435	ASHC00000000.1		na		1325634	5476	Candida albicans Ca529L	strain=Ca529L		latest	Scaffold	Major	Full	2014/05/15	Cand_albi_Ca529L_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/765/GCA_000691765.2_Cand_albi_Ca529L_V1	./sec14_genomes_genbank/GCA_000691765.2_Cand_albi_Ca529L_V1_cds_from_genomic.fna.gz
GCA_000773725.1	PRJNA75225	SAMN01048009	AJIX00000000.1		na		1094989	5476	Candida albicans P78048	strain=P78048		latest	Scaffold	Major	Full	2014/11/05	Cand_albi_P78048_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/773/725/GCA_000773725.1_Cand_albi_P78048_V1	./sec14_genomes_genbank/GCA_000773725.1_Cand_albi_P78048_V1_cds_from_genomic.fna.gz
GCA_000773735.1	PRJNA75223	SAMN00767984	AJIW00000000.1		na		1094988	5476	Candida albicans GC75	strain=GC75		latest	Scaffold	Major	Full	2014/11/05	Cand_albi_GC75_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/773/735/GCA_000773735.1_Cand_albi_GC75_V1	./sec14_genomes_genbank/GCA_000773735.1_Cand_albi_GC75_V1_cds_from_genomic.fna.gz
GCA_000773745.1	PRJNA75217	SAMN01048006	AJIU00000000.1		na		1094985	5476	Candida albicans P37005	strain=P37005		latest	Scaffold	Major	Full	2014/11/05	Cand_albi_P37005_V2	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/773/745/GCA_000773745.1_Cand_albi_P37005_V2	./sec14_genomes_genbank/GCA_000773745.1_Cand_albi_P37005_V2_cds_from_genomic.fna.gz
GCA_000773755.1	PRJNA75213	SAMN01048005	AJIS00000000.1		na		1094983	5476	Candida albicans P94015	strain=P94015		latest	Scaffold	Major	Full	2014/11/05	Cand_albi_P94015_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/773/755/GCA_000773755.1_Cand_albi_P94015_V1	./sec14_genomes_genbank/GCA_000773755.1_Cand_albi_P94015_V1_cds_from_genomic.fna.gz
GCA_000773805.1	PRJNA75227	SAMN00767978	AJIY00000000.1		na		1094990	5476	Candida albicans P57072	strain=P57072		latest	Scaffold	Major	Full	2014/11/05	Cand_albi_P57072_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/773/805/GCA_000773805.1_Cand_albi_P57072_V1	./sec14_genomes_genbank/GCA_000773805.1_Cand_albi_P57072_V1_cds_from_genomic.fna.gz
GCA_000773825.1	PRJNA75231	SAMN01048011	AJJA00000000.1		na		1094992	5476	Candida albicans P37037	strain=P37037		latest	Scaffold	Major	Full	2014/11/05	Cand_albi_P37037_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/773/825/GCA_000773825.1_Cand_albi_P37037_V1	./sec14_genomes_genbank/GCA_000773825.1_Cand_albi_P37037_V1_cds_from_genomic.fna.gz
GCA_000773845.1	PRJNA75209	SAMN00767974	AJIQ00000000.1		na		1094981	5476	Candida albicans 12C	strain=12C		latest	Scaffold	Major	Full	2014/11/10	Cand_albi_12C_V2	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/773/845/GCA_000773845.1_Cand_albi_12C_V2	./sec14_genomes_genbank/GCA_000773845.1_Cand_albi_12C_V2_cds_from_genomic.fna.gz
GCA_000774085.1	PRJNA75215	SAMN00767982	AJIT00000000.1		na		1094984	5476	Candida albicans P87	strain=P87		latest	Scaffold	Major	Full	2014/11/10	Cand_albi_P87_V2	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/774/085/GCA_000774085.1_Cand_albi_P87_V2	./sec14_genomes_genbank/GCA_000774085.1_Cand_albi_P87_V2_cds_from_genomic.fna.gz
GCA_000775445.1	PRJNA75221	SAMN01048008	AJIV00000000.1		na		1094987	5476	Candida albicans 19F	strain=19F		latest	Scaffold	Major	Full	2014/11/10	Cand_albi_19F_V2	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/445/GCA_000775445.1_Cand_albi_19F_V2	./sec14_genomes_genbank/GCA_000775445.1_Cand_albi_19F_V2_cds_from_genomic.fna.gz
GCA_000775455.1	PRJNA75211	SAMN01048004	AJIR00000000.1		na		1094982	5476	Candida albicans L26	strain=L26		latest	Scaffold	Major	Full	2014/11/10	Cand_albi_L26_V2	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/455/GCA_000775455.1_Cand_albi_L26_V2	./sec14_genomes_genbank/GCA_000775455.1_Cand_albi_L26_V2_cds_from_genomic.fna.gz
GCA_000775465.1	PRJNA75229	SAMN01048010	AJIZ00000000.1		na		1094991	5476	Candida albicans P34048	strain=P34048		latest	Scaffold	Major	Full	2014/11/10	Cand_albi_P34048_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/465/GCA_000775465.1_Cand_albi_P34048_V1	./sec14_genomes_genbank/GCA_000775465.1_Cand_albi_P34048_V1_cds_from_genomic.fna.gz
GCA_000775505.1	PRJNA75239	SAMN01048013	AJJB00000000.1		na		1094996	5476	Candida albicans P57055	strain=P57055		latest	Scaffold	Major	Full	2014/11/10	Cand_albi_P57055_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/505/GCA_000775505.1_Cand_albi_P57055_V1	./sec14_genomes_genbank/GCA_000775505.1_Cand_albi_P57055_V1_cds_from_genomic.fna.gz
GCA_000775525.1	PRJNA75241	SAMN01048014	AJJC00000000.1		na		1094997	5476	Candida albicans P75063	strain=P75063		latest	Scaffold	Major	Full	2014/11/10	Cand_albi_P75063_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/525/GCA_000775525.1_Cand_albi_P75063_V1	./sec14_genomes_genbank/GCA_000775525.1_Cand_albi_P75063_V1_cds_from_genomic.fna.gz
GCA_000784495.1	PRJNA75245	SAMN01048017	AJJE00000000.1		na		1094999	5476	Candida albicans P76067	strain=P76067		latest	Scaffold	Major	Full	2014/11/17	Cand_albi_P76067_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/495/GCA_000784495.1_Cand_albi_P76067_V1	./sec14_genomes_genbank/GCA_000784495.1_Cand_albi_P76067_V1_cds_from_genomic.fna.gz
GCA_000784505.1	PRJNA75243	SAMN01048016	AJJD00000000.1		na		1094998	5476	Candida albicans P76055	strain=P76055		latest	Scaffold	Major	Full	2014/11/17	Cand_albi_P76055_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/505/GCA_000784505.1_Cand_albi_P76055_V1	./sec14_genomes_genbank/GCA_000784505.1_Cand_albi_P76055_V1_cds_from_genomic.fna.gz
GCA_000784515.1	PRJNA75233	SAMN00767975	JSXQ00000000.1		na		1094993	5476	Candida albicans P37039	strain=P37039		latest	Scaffold	Major	Full	2014/11/17	Cand_albi_P37039_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/515/GCA_000784515.1_Cand_albi_P37039_V1	./sec14_genomes_genbank/GCA_000784515.1_Cand_albi_P37039_V1_cds_from_genomic.fna.gz
GCA_000784525.1	PRJNA75219	SAMN01048007	JSXP00000000.1		na		1094986	5476	Candida albicans P60002	strain=P60002		latest	Scaffold	Major	Full	2014/11/17	Cand_albi_P60002_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/525/GCA_000784525.1_Cand_albi_P60002_V1	./sec14_genomes_genbank/GCA_000784525.1_Cand_albi_P60002_V1_cds_from_genomic.fna.gz
GCA_000784575.1	PRJNA75235	SAMN00769059	JSXR00000000.1		na		1094994	5476	Candida albicans P75010	strain=P75010		latest	Scaffold	Major	Full	2014/11/17	Cand_albi_P75010_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/575/GCA_000784575.1_Cand_albi_P75010_V1	./sec14_genomes_genbank/GCA_000784575.1_Cand_albi_P75010_V1_cds_from_genomic.fna.gz
GCA_000784595.1	PRJNA75237	SAMN01048012	JPEV00000000.1		na		1094995	5476	Candida albicans P75016	strain=P75016		latest	Scaffold	Major	Full	2014/11/17	Cand_albi_P75016_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/595/GCA_000784595.1_Cand_albi_P75016_V1	./sec14_genomes_genbank/GCA_000784595.1_Cand_albi_P75016_V1_cds_from_genomic.fna.gz
GCA_000784615.1	PRJNA75247	SAMN01048015	JPEW00000000.1		na		1095000	5476	Candida albicans P78042	strain=P78042		latest	Scaffold	Major	Full	2014/11/17	Cand_albi_P78042_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/615/GCA_000784615.1_Cand_albi_P78042_V1	./sec14_genomes_genbank/GCA_000784615.1_Cand_albi_P78042_V1_cds_from_genomic.fna.gz
GCA_000784635.1	PRJNA120009	SAMN01041717	AJJF00000000.1		na		237561	5476	Candida albicans SC5314	strain=SC5314		latest	Scaffold	Major	Full	2014/11/17	Cand_albi_SC5314_V4	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/635/GCA_000784635.1_Cand_albi_SC5314_V4	./sec14_genomes_genbank/GCA_000784635.1_Cand_albi_SC5314_V4_cds_from_genomic.fna.gz
GCA_000784655.1	PRJNA191536	SAMN01041717	JTBX00000000.1		na		237561	5476	Candida albicans SC5314	strain=SC5314		latest	Scaffold	Major	Full	2014/11/17	Cand_albi_SC5314_V3	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/655/GCA_000784655.1_Cand_albi_SC5314_V3	./sec14_genomes_genbank/GCA_000784655.1_Cand_albi_SC5314_V3_cds_from_genomic.fna.gz
GCA_000784695.1	PRJNA120431	SAMN03164130	AJJG00000000.1		na		1165368	5476	Candida albicans Ca6	strain=Ca6		latest	Scaffold	Major	Full	2014/11/17	Cand_albi_Ca6_V2	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/695/GCA_000784695.1_Cand_albi_Ca6_V2	./sec14_genomes_genbank/GCA_000784695.1_Cand_albi_Ca6_V2_cds_from_genomic.fna.gz
GCA_000006335.3	PRJNA13675	SAMN02953608	AAFN00000000.2		representative genome		294747	5482	Candida tropicalis MYA-3404	strain=MYA-3404		latest	Scaffold	Major	Full	2009/06/18	ASM633v3	Broad Institute	GCF_000006335.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/335/GCA_000006335.3_ASM633v3	./sec14_genomes_genbank/GCA_000006335.3_ASM633v3_cds_from_genomic.fna.gz
GCA_000149955.2	PRJNA18813	SAMN02953675	AAXH00000000.1		representative genome		426428	5507	Fusarium oxysporum f. sp. lycopersici 4287	strain=4287		latest	Chromosome	Major	Full	2015/08/20	ASM14995v2	Broad Institute	GCF_000149955.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/955/GCA_000149955.2_ASM14995v2	./sec14_genomes_genbank/GCA_000149955.2_ASM14995v2_cds_from_genomic.fna.gz
GCA_000222805.1	PRJNA68027	SAMN02981338	AFQF00000000.1		na		660025	5507	Fusarium oxysporum Fo5176	strain=Fo5176		latest	Contig	Major	Full	2011/08/05	FOB1	CSIRO	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/805/GCA_000222805.1_FOB1	./sec14_genomes_genbank/GCA_000222805.1_FOB1_cds_from_genomic.fna.gz
GCA_000259975.2	PRJNA72769	SAMN02981365	AGBH00000000.1		na		1080343	5507	Fusarium oxysporum f. sp. lycopersici MN25	strain=MN25		latest	Scaffold	Major	Full	2014/02/06	FO_MN25_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/259/975/GCA_000259975.2_FO_MN25_V1	./sec14_genomes_genbank/GCA_000259975.2_FO_MN25_V1_cds_from_genomic.fna.gz
GCA_000260075.2	PRJNA72771	SAMN02981366	AGBI00000000.1		na		1080344	5507	Fusarium oxysporum f. sp. pisi HDV247	strain=HDV247		latest	Scaffold	Major	Full	2014/02/06	FO_HDV247_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/075/GCA_000260075.2_FO_HDV247_V1	./sec14_genomes_genbank/GCA_000260075.2_FO_HDV247_V1_cds_from_genomic.fna.gz
GCA_000260155.3	PRJNA73535	SAMN02981376	AGNB00000000.1		na		1089448	5507	Fusarium oxysporum f. sp. radicis-lycopersici 26381	strain=26381		latest	Scaffold	Major	Full	2014/02/19	FO_CL57_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/155/GCA_000260155.3_FO_CL57_V1	./sec14_genomes_genbank/GCA_000260155.3_FO_CL57_V1_cds_from_genomic.fna.gz
GCA_000260175.2	PRJNA73537	SAMN02981377	AGNC00000000.1		na		1089449	5507	Fusarium oxysporum f. sp. vasinfectum 25433	strain=25433		latest	Scaffold	Major	Full	2014/02/19	FO_Cotton_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/175/GCA_000260175.2_FO_Cotton_V1	./sec14_genomes_genbank/GCA_000260175.2_FO_Cotton_V1_cds_from_genomic.fna.gz
GCA_000260195.2	PRJNA73539	SAMN02981379	AGND00000000.1		na		1089451	5507	Fusarium oxysporum f. sp. cubense tropical race 4 54006	strain=54006		latest	Scaffold	Major	Full	2014/02/19	FO_II5_V1	Broad Institute	GCF_000260195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/195/GCA_000260195.2_FO_II5_V1	./sec14_genomes_genbank/GCA_000260195.2_FO_II5_V1_cds_from_genomic.fna.gz
GCA_000260215.2	PRJNA73543	SAMN02981380	AGNF00000000.1		na		1089457	5507	Fusarium oxysporum f. sp. conglutinans race 2 54008	strain=54008		latest	Scaffold	Major	Full	2014/02/19	FO_PHW808_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/215/GCA_000260215.2_FO_PHW808_V1	./sec14_genomes_genbank/GCA_000260215.2_FO_PHW808_V1_cds_from_genomic.fna.gz
GCA_000260235.2	PRJNA73545	SAMN02981381	AGNG00000000.1		na		1089458	5507	Fusarium oxysporum f. sp. raphani 54005	strain=54005		latest	Scaffold	Major	Full	2014/02/06	FO_PHW815_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/235/GCA_000260235.2_FO_PHW815_V1	./sec14_genomes_genbank/GCA_000260235.2_FO_PHW815_V1_cds_from_genomic.fna.gz
GCA_000260495.2	PRJNA73541	SAMN02981378	AGNE00000000.1		na		1089452	5507	Fusarium oxysporum f. sp. melonis 26406	strain=26406		latest	Scaffold	Major	Full	2014/02/06	FO_melonis_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/495/GCA_000260495.2_FO_melonis_V1	./sec14_genomes_genbank/GCA_000260495.2_FO_melonis_V1_cds_from_genomic.fna.gz
GCA_000271705.2	PRJNA67069	SAMN02981332	AFMM00000000.1		na		660027	5507	Fusarium oxysporum Fo47	strain=Fo47		latest	Scaffold	Major	Full	2014/02/06	FO_Fo47_V1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/705/GCA_000271705.2_FO_Fo47_V1	./sec14_genomes_genbank/GCA_000271705.2_FO_Fo47_V1_cds_from_genomic.fna.gz
GCA_000271745.2	PRJNA67067	SAMN02981331	AFML00000000.1		na		660029	5507	Fusarium oxysporum NRRL 32931	strain=NRRL 32931		latest	Scaffold	Major	Full	2014/02/06	FO_FOSC_3_a_V1	Broad Institute	GCF_000271745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/745/GCA_000271745.2_FO_FOSC_3_a_V1	./sec14_genomes_genbank/GCA_000271745.2_FO_FOSC_3_a_V1_cds_from_genomic.fna.gz
GCA_000350345.1	PRJNA174274	SAMN02981460	AMGP00000000.1		na		1229664	5507	Fusarium oxysporum f. sp. cubense race 1	strain=race 1		latest	Scaffold	Major	Full	2013/04/09	Foc1_1.0	BGI	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/345/GCA_000350345.1_Foc1_1.0	./sec14_genomes_genbank/GCA_000350345.1_Foc1_1.0_cds_from_genomic.fna.gz
GCA_000350365.1	PRJNA174275	SAMN02981461	AMGQ00000000.1		na		1229665	5507	Fusarium oxysporum f. sp. cubense race 4	strain=race 4		latest	Scaffold	Major	Full	2013/04/04	Foc4_1.0	BGI	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/365/GCA_000350365.1_Foc4_1.0	./sec14_genomes_genbank/GCA_000350365.1_Foc4_1.0_cds_from_genomic.fna.gz
GCA_000733055.2	PRJNA239660	SAMN02666737	JNNQ00000000.1		na		5507	5507	Fusarium oxysporum	strain=UASWS AC1		latest	Contig	Minor	Full	2015/06/08	FoxyAC1-1.0	University of Applied Sciences of Western Switzerland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/055/GCA_000733055.2_FoxyAC1-1.0	./sec14_genomes_genbank/GCA_000733055.2_FoxyAC1-1.0_cds_from_genomic.fna.gz
GCA_001702695.2	PRJNA306247	SAMN04348764	MABQ00000000.2		na		327505	5507	Fusarium oxysporum f. sp. radicis-cucumerinum	strain=Forc016		latest	Chromosome	Major	Full	2017/09/25	ASM170269v2	University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/702/695/GCA_001702695.2_ASM170269v2	./sec14_genomes_genbank/GCA_001702695.2_ASM170269v2_cds_from_genomic.fna.gz
GCA_003615075.1	PRJNA338256	SAMN05529099	MRCW00000000.1		na		396571	5507	Fusarium oxysporum f. sp. cepae	strain=FoC_A23		latest	Scaffold	Major	Full	2018/10/05	FoC_A23_v1	NIAB-EMR	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/615/075/GCA_003615075.1_FoC_A23_v1	./sec14_genomes_genbank/GCA_003615075.1_FoC_A23_v1_cds_from_genomic.fna.gz
GCA_003615085.1	PRJNA338256	SAMN05529097	MRCU00000000.1		na		396571	5507	Fusarium oxysporum f. sp. cepae	strain=FoC_Fus2		latest	Chromosome	Major	Full	2018/10/05	FoC_Fus2_v1	NIAB-EMR	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/615/085/GCA_003615085.1_FoC_Fus2_v1	./sec14_genomes_genbank/GCA_003615085.1_FoC_Fus2_v1_cds_from_genomic.fna.gz
GCA_003615095.1	PRJNA338256	SAMN05529098	MRCV00000000.1		na		396571	5507	Fusarium oxysporum f. sp. cepae	strain=FoC_125		latest	Scaffold	Major	Full	2018/10/05	FoC_125_v1	NIAB-EMR	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/615/095/GCA_003615095.1_FoC_125_v1	./sec14_genomes_genbank/GCA_003615095.1_FoC_125_v1_cds_from_genomic.fna.gz
